TP1;TIRA;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;001;004;077;01;08;1;00;11;003010;001004;00;0;1;1;2;00;847;1086;1086;0;0;0
4;001;004;080;01;01;1;00;21;900084;900084;00;1;1;3;2;00;0;0;0;0;0;0
4;001;004;080;01;02;1;00;21;900084;001004;01;1;1;2;3;02;83759;94945;28418;0;67;0
4;001;004;089;01;04;1;05;32;002004;010001;02;;;;;;1182;1773;1773;333;133;0
4;001;004;089;01;05;1;02;32;010001;002004;05;;;;;;1182;1773;1773;133;333;0
4;001;005;015;01;03;1;10;32;009009;033012;02;;;;;;3690;5535;5535;667;133;0
4;001;005;015;01;04;1;02;32;033012;002004;02;;;;;;4427;6640;6640;133;133;0
4;001;005;032;01;01;1;10;32;002005;029004;10;;;;;;4096;6145;6145;667;667;0
4;001;005;032;01;02;1;10;32;029004;002005;10;;;;;;4096;6145;6145;667;667;0
4;001;005;043;01;01;1;07;32;001011;022006;06;;;;;;1966;2949;2949;467;400;0
4;001;005;043;01;03;1;03;32;022006;001011;05;;;;;;1966;2949;2949;200;333;0
4;001;005;063;01;04;1;06;32;002005;030003;10;;;;;;5490;8236;8236;400;667;0
4;001;005;063;01;05;1;01;22;030003;002007;20;;;;;;4946;8607;8607;67;1333;0
4;001;005;063;02;01;1;06;32;002005;022007;05;;;;;;2579;3868;3868;400;333;0
4;001;005;063;02;02;2;00;32;006011;011007;05;;;;;;2971;4456;4456;0;333;0
4;001;005;063;02;02;1;05;32;022007;006011;00;;;;;;1346;2018;2018;333;0;0
4;001;005;063;02;03;1;01;22;011006;003004;07;;;;;;2156;3014;3014;67;467;0
4;001;005;063;02;04;1;04;32;002004;010001;02;;;;;;1182;1773;1773;267;133;0
4;001;005;067;01;03;2;00;21;003001;035006;00;1;2;2;3;00;4735;6195;6195;0;0;0
4;001;005;067;01;03;1;10;22;009009;003001;00;;;;;;479;1013;1013;667;0;0
