PP1;TIRA;PP2;ECH;PER;DATE;PENQ;JOURDEP;P2;P3;P4;P7;P8;P9;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24A;P11A;P25;P26;PL27;PL28;P12A;P12B;P12C;P12D;P12E;P12F;P1;COE1;COEP;DP13;PFIN
2;067;004;030;01;181013;1;4;2;1;32;2;4;1;5;067005;4;;3;1;5;5;5;4;5;4;1;1;5;5;4;4;4;4;4;;1;79.01663;79.01663;919;0
2;067;004;003;01;171013;1;3;1;1;62;1;5;2;5;067014;1;3;;1;4;5;1;3;4;1;1;6;4;5;4;4;4;4;4;;1;80.57786;80.57786;5005;0
2;067;004;119;03;200314;1;3;2;3;15;2;0;5;5;067021;;;;1;5;3;5;3;5;7;1;;5;1;4;4;1;4;4;;1;85.83370;85.83370;5768;0
2;067;004;062;02;101213;1;1;2;2;33;1;6;1;3;068002;1;3;;2;5;5;1;4;5;4;1;1;4;5;4;4;4;4;4;;1;107.9014;107.9014;8919;0
2;067;004;039;02;261113;1;1;2;2;24;1;4;1;5;075003;1;3;;1;5;5;1;5;5;4;1;1;5;5;4;4;4;4;4;;1;178.4164;178.4164;10708;0
2;067;004;119;01;200314;1;3;1;1;49;1;2;1;5;075011;1;3;;5;5;5;1;5;5;4;1;1;5;5;4;4;4;4;4;;1;111.0348;111.0348;13267;0
2;067;004;110;02;210314;1;4;1;3;22;1;3;1;5;888888;;;;4;5;5;1;5;4;6;1;1;5;5;4;4;4;4;4;;1;115.4509;115.4509;0;0
2;067;005;079;02;170114;1;4;2;2;31;1;3;8;;;;;;1;5;5;2;5;4;5;1;;5;5;4;4;4;4;4;;1;120.4345;120.4345;0;0
2;067;005;079;03;170114;2;4;2;3;01;;;;;;;;;;;;;;;0;;;;;;;;;;;1;62.64610;;0;0
2;067;005;079;04;170114;2;4;2;3;00;;;;;;;;;;;;;;;0;;;;;;;;;;;1;62.64610;;0;0
2;067;005;107;01;210314;1;4;2;1;51;1;5;1;5;066009;1;3;;5;5;5;1;5;5;5;1;1;5;5;4;4;4;4;4;;1;52.61542;52.61542;13188;0
2;067;005;074;01;110114;1;5;1;1;58;1;2;1;5;068010;1;3;;5;5;5;1;4;5;6;1;1;5;5;4;4;4;4;4;;1;80.57786;80.57786;5612;0
2;067;005;079;01;170114;1;4;1;1;32;1;4;1;5;075014;1;2;;5;4;5;1;5;5;6;1;1;5;5;4;4;4;4;4;;1;120.4345;120.4345;11575;0
2;067;006;081;01;070114;1;1;1;5;76;1;1;7;;;;;;5;5;5;1;5;5;2;1;;5;5;4;4;4;4;4;;1;61.58947;61.58947;0;0
2;067;006;081;03;070114;1;1;2;2;36;2;2;8;;;;;;5;5;2;5;1;5;5;1;;5;5;4;4;4;4;4;;1;74.85901;74.85901;0;0
2;067;006;092;01;220314;1;5;1;1;81;1;1;7;;;;;;1;5;5;1;4;5;2;1;;5;5;4;4;4;4;4;;1;53.72835;53.72835;0;0
2;067;006;092;02;220314;1;5;2;2;80;2;2;7;;;;;;1;5;5;5;1;5;2;1;;5;5;4;4;4;4;4;;1;53.72835;53.72835;0;0
2;067;006;081;02;070114;1;1;1;1;44;1;2;1;5;067006;1;3;;5;5;2;1;5;5;6;1;1;5;5;4;4;4;4;4;;1;49.84695;49.84695;2304;0
2;067;006;081;04;070114;1;1;2;3;14;2;0;5;5;067021;;;;5;4;5;5;1;5;7;1;;5;1;4;4;1;4;4;;1;38.53339;38.53339;6484;0
2;067;006;081;05;070114;1;1;1;3;11;2;0;5;5;067021;;;;5;4;5;5;1;5;7;1;;5;1;4;4;1;4;4;;1;38.53339;38.53339;6484;0
2;067;007;008;01;031213;1;1;2;1;50;1;3;6;;;;;;1;5;5;1;5;5;4;1;;5;5;4;4;4;4;4;;1;71.84915;71.84915;0;0
2;067;007;073;01;180114;1;5;1;1;68;1;2;7;;;;;;1;1;5;3;4;5;6;1;;5;5;4;4;4;4;4;;1;88.77475;88.77475;0;0
2;067;007;073;02;180114;1;5;2;2;65;1;2;7;;;;;;1;5;5;2;3;5;6;1;;5;5;4;4;4;4;4;;1;88.77475;88.77475;0;0
2;067;007;093;01;270314;1;3;1;1;65;1;6;7;;;;;;1;4;5;2;2;4;3;1;;5;5;4;4;4;4;4;;1;88.77475;88.77475;0;0
2;067;007;093;02;270314;1;3;2;2;61;1;4;7;;;;;;1;4;5;4;4;4;5;2;;5;5;4;4;4;4;4;;1;110.0333;110.0333;0;0
2;067;007;045;01;271113;1;2;2;1;56;1;4;1;5;022151;1;3;;2;5;5;1;4;5;5;1;6;5;5;4;4;4;4;4;;1;80.57786;80.57786;22192;0
2;067;007;008;02;031213;1;1;1;3;12;2;0;5;5;067010;;;;1;5;5;5;1;5;7;1;;5;5;4;4;4;4;4;;1;55.54184;55.54184;694;0
2;067;007;091;04;010414;1;1;2;3;12;2;0;5;5;067010;;;;1;5;5;5;1;5;7;1;;5;5;4;4;4;4;4;;1;61.99322;61.99322;694;0
