id_zone;geo_code
055004;34176
055005;34127
055006;34127
055007;34050
055008;34050
056001;34344
056002;34344
056003;34344
056004;34344
056005;34344
056006;34344
056007;34344
056008;34344
056009;34344
056010;34344
056011;34344
056012;34344
056013;34344
057001;34077
057002;34077
057003;34077
057004;34077
057005;34077
057006;34077
057007;34077
058001;34151
058002;34151
058003;34151
058004;34151
058005;34151
058006;34151
058007;34151
058008;34151
058009;34151
058010;34151
058011;34151
058012;34151
058013;34272
058014;34272
058015;34272
058016;34272
058017;34280
058018;34280
059001;34145
059002;34145
059003;34145
059004;34145
059005;34145
059006;34145
059007;34145
060001;34145
060002;34145
060003;34145
060004;34145
060005;34145
060006;34145
060007;34145
060008;34145
060009;34145
060010;34145
061001;34296
061002;34296
061003;34033
061004;34033
061005;34033
061006;34033
061007;34033
061008;34033
061009;34288
061010;34288
061011;34246
061012;34246
061013;34246
061014;34246
061015;34340
061016;34340
061017;34340
061018;34340
061019;34340
061020;34294
061021;34294
061022;34294
061023;34246
061024;34246
061025;34146
061026;34146
061027;34146
061028;34146
061029;34321
061030;34321
062001;34195
062002;34264
062003;34264
062004;34264
062005;34238
062006;34060
062007;34060
062008;34060
062009;34274
062010;34274
062011;34274
062012;34274
062013;34274
062014;34274
062015;34274
062016;34343
062017;34343
062018;34343
062019;34343
062020;34342
062021;34185
062022;34185
062023;34185
062024;34185
062025;34236
062026;34099
062027;34078
062028;34078
062029;34078
062030;34131
062031;34297
062032;34322
062033;34102
062034;34248
062035;34318
062036;34318
062037;34242
062038;34242
062039;34242
062040;34110
062041;34110
062042;34110
062043;34112
062044;34048
062045;34043
062046;34043
062047;34263
062048;34265
062049;34152
063001;34066
063002;34266
063003;34153
063004;34153
063005;34153
063006;34153
063007;34177
063008;34320
063009;34320
064001;34282
064002;34282
064003;34282
064004;34282
064005;34035
064006;34035
064007;34035
064008;34010
064009;34010
064010;34010
064011;34010
064012;34221
064013;34221
064014;34221
064015;34012
064016;34012
064017;34012
064018;34012
064019;34267
064020;34267
064021;34267
064022;34125
064023;34261
064024;34173
064025;34173
064026;34173
064027;34011
064028;34011
064029;34287
064030;34287
064031;34287
064032;34122
064033;34262
065001;34114
065002;34114
065003;34114
065004;34114
065005;34239
065006;34239
065007;34239
065008;34239
065009;34239
065010;34239
066001;34215
066002;34215
066003;34208
066004;34208
066005;34241
066006;34241
066007;34210
066008;34210
066009;34210
066010;34328
066011;34328
066012;34016
066013;34281
066014;34281
066015;34281
066016;34281
066017;34047
066018;34047
066019;34204
066020;34204
066021;34029
066022;34029
066023;34222
066024;34313
066025;34313
067001;34165
067002;34165
067003;34165
067004;34341
067005;34341
067006;34341
067007;34213
067008;34213
067009;34213
067010;34213
067011;34213
067012;34213
067013;34213
067014;34213
067015;34213
067016;34039
067017;34039
067018;34039
067019;34143
067020;34143
067021;34143
067022;34143
068001;34157
068002;34157
068003;34157
068004;34157
068005;34157
068006;34157
068007;34157
068008;34157
068009;34157
068010;34157
068011;34157
068012;34157
069001;34159
069002;34159
069003;34159
069004;34333
069005;34333
069006;34333
069007;34333
069008;34333
069009;34333
069010;34333
069011;34333
069012;34333
070001;34113
070002;34113
070003;34113
070004;34024
070005;34024
070006;34024
070007;34024
070008;34024
070009;34024
070010;34024
070011;34024
070012;34023
070013;34023
070014;34023
070015;34023
070016;34023
070017;34023
070018;34023
070019;34023
070020;34023
070021;34023
070022;34023
070023;34023
070024;34023
071001;34108
071002;34108
071003;34108
071004;34108
071005;34108
072001;34108
072002;34108
072003;34108
072004;34108
072005;34108
072006;34108
072007;34108
073001;34301
073002;34301
073003;34301
073004;34301
073005;34301
073006;34301
074001;34301
074002;34301
074003;34301
074004;34301
074005;34301
074006;34301
075001;34301
075002;34301
075003;34301
075004;34301
075005;34301
075006;34301
075007;34301
075008;34301
075009;34301
075010;34301
075011;34301
075012;34301
075013;34301
075014;34301
075015;34301
075016;34301
076001;34150
076002;34150
076003;34150
076004;34150
076005;34150
076006;34150
076007;34150
076008;34150
076009;34150
076010;34150
076011;34150
076012;34150
076013;34150
076014;34150
076015;34150
076016;34150
076017;34150
077001;34045
077002;34045
077003;34103
077004;34103
077005;34103
077006;34197
077007;34197
077008;34197
077009;34197
077010;34197
077011;34138
077012;34138
077013;34138
077014;34180
077015;34180
077016;34051
077017;34051
077018;34013
077019;34013
077020;34194
077021;34194
077022;34194
077023;34194
077024;34194
077025;34315
078001;34041
078002;34076
078003;34254
078004;34254
078005;34124
078006;34124
078007;34079
078008;34079
078009;34079
078010;34079
078011;34079
078012;34079
078013;34079
078014;34079
078015;34079
078016;34079
078017;34079
078018;34079
078019;34079
078020;34079
078021;34079
078022;34338
078023;34072
078024;34137
078025;34137
078026;34175
078027;34292
078028;34323
078029;34156
078030;34186
078031;34186
078032;34186
078033;34186
079001;34036
079002;34036
079003;34036
079004;34036
079005;34036
079006;34268
079007;34268
079008;34268
079009;34268
079010;34316
079011;34306
079012;34220
079013;34286
079014;34106
079015;34142
079016;34142
079017;34142
079018;34142
079019;34142
079020;34142
079021;34142
079022;34142
079023;34142
079024;34142
079025;34142
079026;34142
079027;34142
079028;34142
079029;34188
079030;34133
079031;34205
079032;34233
079033;34231
079034;34132
079035;34230
079036;34064
079037;34064
079038;34064
079039;34253
079040;34253
079041;34196
079042;34196
079043;34212
079044;34212
079045;34304
079046;34304
079047;34251
079048;34283
079049;34317
079050;34317
079051;34277
079052;34278
079053;34091
079054;34303
080001;34115
080002;34042
080003;34042
080004;34005
080005;34243
080006;34243
080007;34243
080008;34243
080009;34243
080010;34067
080011;34067
080012;34067
080013;34128
080014;34128
080015;34128
080016;34128
080017;34111
080018;34111
080019;34111
080020;34111
080021;34174
080022;34174
080023;34174
080024;34171
101001;34032
101002;34032
101003;34032
101004;34032
102001;34032
102002;34032
102003;34032
102004;34032
102005;34032
103001;34032
103002;34032
103003;34032
